0%/0%/Albert%/444-778-8194%/Berlin
1%/2%/Anna%/7722-7454-456%/Madrid, Green str.,211
7%/0%/Denis%/074-041-4147%/Dnipro
9%/0%/Martin Shultz%/774-549-7014%/Berlin
10%/0%/Nick Jhonson%/484-454-6787%/Amsterdam, Zandpad str.
12%/0%/Riana%/907-085-4754%/Chicago
14%/0%/Gerbert%/578-789-4456%/Chesterfield
15%/0%/Afric Simone%/111-222-3333%/Mexico
16%/0%/Gregory%/747-457-0424%/Paris, Monmartr
17%/2%/Ihor%/7874-4567-54%/Zhytomyr
20%/2%/Nestor%/747-4546-784%/Minsk
22%/0%/Anton%/447-987-0123%/Budapest
24%/0%/James Hummer%/774-415-5000%/NewJersey
26%/0%/Jane%/747-123-0174%/Bonn
27%/0%/Alexandr%/747-567-0124%/Rome
28%/0%/Eric Allan%/123-456-7474%/Marsel
29%/7%/George Bush%/123-456-7890%/Washington
30%/7%/Margaret Thatcher%/412-407-7478%/London
31%/7%/Barack Obama%/147-978-0147%/Philadelphia
32%/7%/William Snozcumber%/474-546-7411%/Devon
33%/7%/Reon Strong%/747-451-7456%/Australia
34%/7%/Amelie Barnett%/231-264-8603%/London
35%/7%/Charlene Tierney%/295-233-3008%/Madrid
36%/7%/Ailish Lyon%/435-566-9044%/Barcelona
37%/7%/Ruairidh Plant%/510-841-7816%/Paris
38%/7%/Kristin Phan%/566-311-2093%/Marsel
39%/7%/Gia Gray%/668-396-9230%/Berlin
40%/7%/Jensen Stephenson%/810-976-1209%/Bonn
41%/7%/Roisin Jenkins%/095-464-8560%/Hamburg
42%/7%/Waleed Ritter%/072-389-7655%/Prague
43%/7%/Alexa Odonnell%/465-557-4454%/Bonn
44%/7%/Ellesha Wyatt%/267-525-5565%/Rome
45%/7%/Abbigail Navarro%/986-252-7428%/Milan
46%/7%/Wasim Plummer%/902-716-3430%/Lissabon
47%/7%/Beth Mathews%/272-269-5780%/Warsaw
48%/7%/Ernie Stephens%/227-683-4659%/Bucharest
49%/7%/Felicity Wheatley%/798-807-9332%/Vien
50%/7%/Anniyah Osborne%/294-483-4696%/Naples
51%/7%/Caoimhe Roy%/665-441-2192%/Cologne
52%/7%/Agata Swift%/128-511-5471%/Birmingham
53%/7%/Sahra Mcmillan%/329-200-6528%/Kharkiv
54%/7%/Gwion Swift%/775-410-7603%/Hamburg
55%/7%/Suman Willis%/804-013-9750%/Munich
56%/7%/Shelby Hunt%/792-498-5777%/Sofia
57%/7%/Devon Derrick%/849-566-4169%/Florence
58%/7%/Eloise Shaw%/401-555-5009%/Turin
59%/7%/Kayla Todd%/598-768-1100%/Budapest
60%/7%/Yassin Owen%/483-033-1694%/Lyon
61%/7%/Andrew Calderon%/104-441-4217%/Stockholm
62%/7%/Salma Drummond%/878-701-8247%/Madrid
63%/7%/Roseanna Melia%/314-545-1967%/Reykjavik
64%/7%/Alivia Ramos%/869-422-8213%/Edinburgh
65%/7%/Inga Appleton%/059-249-5750%/Riga, Green str.5
66%/7%/Yvie Medrano%/649-275-7539%/Dublin
67%/7%/Alice Gallagher%/753-413-9183%/Vilnius
68%/7%/Nancie Fitzpatrick%/104-532-9554%/Marseille
69%/7%/Jane Leon%/609-602-7447%/Glasgow
70%/7%/Arnie Stubbs%/238-034-6463%/Amsterdam
71%/7%/Ahsan Rios%/378-574-9536%/Ljubljana
72%/7%/Billie Allman%/133-389-8997%/Bucharest
73%/7%/Roseanna Melia%/778-313-5728%/Birmingham
74%/7%/Ricardo Ramos%/438-994-1312%/Warsaw
75%/7%/Isaiah Appleton%/027-034-7443%/Manchester
76%/7%/Yvie Medrano%/964-358-8469%/Oslo
